Args,Wall clock time (m:s),CPU time (s),System time (s),Max memory usage (Kb)
10 - 1 - 512 - 2048,0:00.10,0.00,0.00,1680 
10 - 10 - 512 - 2048,0:00.58,0.00,0.00,1680 
10 - 100 - 512 - 2048,0:07.84,0.05,0.33,1676 
10 - 1 - 512 - 2048,0:00.09,0.00,0.00,1620 
10 - 10 - 512 - 2048,0:00.68,0.02,0.00,1704 
10 - 100 - 512 - 2048,0:07.17,0.12,0.18,1696 
10 - 1 - 512 - 2048,0:00.12,0.00,0.00,1652 
10 - 10 - 512 - 2048,0:00.56,0.00,0.02,1688 
10 - 100 - 512 - 2048,0:07.60,0.06,0.27,1664 
10 - 1 - 512 - 2048,0:00.07,0.00,0.00,1756 
10 - 10 - 512 - 2048,0:00.64,0.00,0.01,1648 
10 - 100 - 512 - 2048,0:04.36,0.04,0.19,1696 
10 - 1 - 512 - 2048,0:00.06,0.00,0.00,1616 
10 - 10 - 512 - 2048,0:00.95,0.01,0.03,1668 
10 - 100 - 512 - 2048,0:07.87,0.07,0.34,1732 
10 - 1 - 512 - 2048,0:00.08,0.00,0.00,1672 
10 - 10 - 512 - 2048,0:00.60,0.00,0.02,1656 
10 - 100 - 512 - 2048,0:06.96,0.03,0.26,1732 
10 - 1 - 512 - 2048,0:00.08,0.00,0.00,1672 
10 - 10 - 512 - 2048,0:00.80,0.00,0.05,1652 
10 - 100 - 512 - 2048,0:07.87,0.08,0.29,1668 
10 - 1 - 512 - 2048,0:00.09,0.00,0.00,1680 
10 - 10 - 512 - 2048,0:00.49,0.01,0.00,1720 
10 - 100 - 512 - 2048,0:05.08,0.09,0.25,1688 
10 - 1 - 512 - 2048,0:00.08,0.00,0.00,1652 
10 - 10 - 512 - 2048,0:00.69,0.00,0.01,1664 
10 - 100 - 512 - 2048,0:06.06,0.09,0.13,1660 
10 - 1 - 512 - 2048,0:00.08,0.00,0.00,1760 
10 - 10 - 512 - 2048,0:00.71,0.00,0.01,1652 
10 - 100 - 512 - 2048,0:06.98,0.03,0.26,1664 
