Calibrating on core 13...
Startup: 0.000000

loopreps\sleep:          0       500      1000      1500      2000      2500      3000      3500      4000      4500      5000      5500      6000      6500      7000      7500      8000      8500      9000      9500     10000     10500     11000     11500     12000     12500     13000     13500     14000     14500     15000     15500     16000     16500     17000     17500     18000     18500     19000     19500     20000     20500     21000     21500     22000     22500     23000     23500     24000     24500     25000
            5000    1.0000    0.0033    0.0000    0.0100    0.0066    0.0000    0.0000    0.0033    0.0100    0.0033    0.0033    0.0033    0.0033    0.0100    0.0033    0.0033    0.0000    0.0033    0.0033    0.0033    0.0033    0.0000    0.0033    0.0033    0.0033    0.0033    0.0033    0.0000    0.0000    0.0099    0.0000    0.0033    0.0000    0.0033    0.0033    0.0033    0.0000    0.0000    0.0000    0.0033    0.0033    0.0000    0.0033    0.0000    0.0033    0.0000    0.0000    0.0000    0.0033    0.0000    0.0000
           10000    1.0000    0.2724    0.1233    0.2267    0.2267    0.1767    0.1667    0.1628    0.1433    0.1433    0.1367    0.1130    0.1100    0.1130    0.1000    0.1000    0.0930    0.0831    0.0861    0.0836    0.0800    0.0728    0.0731    0.0700    0.0667    0.0667    0.0662    0.0598    0.0598    0.0598    0.0533    0.0565    0.0532    0.0498    0.0530    0.0500    0.0498    0.0464    0.0432    0.0464    0.0432    0.0464    0.0430    0.0397    0.0400    0.0400    0.0232    0.0298    0.0364    0.0365    0.0364
           15000    1.0000    0.4867    0.2700    0.3787    0.3333    0.3333    0.3300    0.2625    0.2500    0.2500    0.2226    0.2200    0.2159    0.1827    0.1833    0.1800    0.1733    0.1661    0.1561    0.1500    0.1429    0.1429    0.1438    0.1262    0.1262    0.1262    0.1163    0.1196    0.1130    0.1063    0.1063    0.1063    0.1033    0.0967    0.0963    0.0963    0.0897    0.0930    0.0900    0.0831    0.0833    0.0833    0.0825    0.0800    0.0767    0.0762    0.0759    0.0433    0.0667    0.0731    0.0695
           20000    1.0000    0.5987    0.3123    0.4467    0.4300    0.4300    0.3754    0.3754    0.3746    0.3090    0.2990    0.3023    0.2809    0.2724    0.2625    0.2433    0.2326    0.2300    0.2318    0.2107    0.2000    0.2027    0.1867    0.1860    0.1894    0.1694    0.1661    0.1667    0.1623    0.1600    0.1528    0.1495    0.1433    0.1433    0.1429    0.1333    0.1325    0.1296    0.1258    0.1233    0.1262    0.1163    0.1163    0.1159    0.1126    0.1122    0.1096    0.0498    0.0933    0.1026    0.1030
           25000    1.0000    0.6645    0.4400    0.5382    0.5719    0.4917    0.4467    0.4452    0.4100    0.4000    0.3967    0.3555    0.3355    0.3333    0.3289    0.3067    0.2980    0.2857    0.2658    0.2667    0.2691    0.2467    0.2359    0.2359    0.2252    0.2226    0.2226    0.2067    0.2013    0.2000    0.2000    0.1894    0.1860    0.1821    0.1728    0.1755    0.1733    0.1656    0.1589    0.1628    0.1556    0.1528    0.1551    0.1462    0.1452    0.1419    0.1424    0.0831    0.1163    0.1333    0.1296
           30000    1.0000    0.7110    0.4733    0.5767    0.5615    0.5548    0.5533    0.5100    0.4551    0.4551    0.4467    0.4167    0.4120    0.3887    0.3567    0.3576    0.3555    0.3333    0.3200    0.3123    0.2980    0.2933    0.2947    0.2791    0.2633    0.2633    0.2625    0.2500    0.2500    0.2384    0.2259    0.2285    0.2267    0.2185    0.2086    0.2100    0.2020    0.2000    0.2000    0.1933    0.1848    0.1854    0.1848    0.1788    0.1788    0.1728    0.1650    0.0864    0.1567    0.1595    0.1556
           35000    1.0000    0.7467    0.6246    0.6388    0.6000    0.6000    0.5828    0.5452    0.5449    0.5200    0.4618    0.4618    0.4615    0.4286    0.4252    0.4020    0.3767    0.3754    0.3754    0.3567    0.3389    0.3333    0.3289    0.3167    0.3156    0.3056    0.2857    0.2867    0.2857    0.2724    0.2724    0.2591    0.2517    0.2508    0.2500    0.2425    0.2333    0.2292    0.2292    0.2219    0.2244    0.2159    0.2060    0.2079    0.2060    0.2000    0.1993    0.1167    0.1788    0.1887    0.1867
           40000    1.0000    0.7641    0.5400    0.6500    0.7000    0.6833    0.5980    0.5833    0.5833    0.5382    0.5367    0.5200    0.4669    0.4667    0.4667    0.4467    0.4352    0.4120    0.4033    0.3887    0.3900    0.3854    0.3533    0.3500    0.3500    0.3333    0.3333    0.3245    0.3069    0.3023    0.3056    0.2980    0.2881    0.2815    0.2767    0.2682    0.2691    0.2682    0.2500    0.2508    0.2508    0.2392    0.2417    0.2376    0.2267    0.2259    0.2259    0.1237    0.1391    0.1767    0.1833
           45000    1.0000    0.7276    0.6645    0.6722    0.7243    0.6678    0.6667    0.6578    0.5819    0.5714    0.5714    0.5415    0.5333    0.5150    0.4850    0.4718    0.4700    0.4684    0.4400    0.4205    0.4200    0.4007    0.4000    0.3974    0.3688    0.3621    0.3642    0.3533    0.3477    0.3377    0.3300    0.3201    0.3200    0.3189    0.3046    0.2970    0.2947    0.2881    0.2848    0.2838    0.2682    0.2649    0.2667    0.2640    0.2567    0.2517    0.2492    0.1528    0.1860    0.1867    0.2046
           50000    1.0000    0.7774    0.6133    0.6900    0.6678    0.6545    0.6767    0.6478    0.6400    0.6379    0.5867    0.5629    0.5615    0.5567    0.5300    0.5116    0.5017    0.4733    0.4733    0.4718    0.4433    0.4300    0.4286    0.4133    0.4086    0.4053    0.3874    0.3742    0.3746    0.3742    0.3600    0.3500    0.3477    0.3311    0.3344    0.3333    0.3167    0.3113    0.3090    0.3046    0.3000    0.2970    0.2904    0.2800    0.2815    0.2800    0.2724    0.1556    0.1567    0.1881    0.1954
           55000    1.0000    0.7674    0.6533    0.6246    0.6722    0.6656    0.6611    0.6033    0.6067    0.5980    0.5648    0.5853    0.5397    0.5033    0.5083    0.5033    0.4917    0.4700    0.4551    0.4371    0.4333    0.4415    0.4290    0.3967    0.4007    0.3974    0.3813    0.3900    0.3700    0.3543    0.3510    0.3500    0.3498    0.3355    0.3267    0.3212    0.3156    0.3245    0.3090    0.2980    0.2933    0.2957    0.2881    0.2924    0.2767    0.2682    0.2682    0.1860    0.1821    0.2100    0.2244
           60000    1.0000    0.7143    0.6900    0.6611    0.6533    0.6600    0.6400    0.6246    0.6391    0.5880    0.5880    0.5900    0.5548    0.5615    0.5267    0.5050    0.5000    0.5000    0.4917    0.4585    0.4551    0.4503    0.4352    0.4437    0.4257    0.3993    0.4000    0.4000    0.3854    0.3874    0.3709    0.3609    0.3597    0.3564    0.3567    0.3344    0.3333    0.3322    0.3233    0.3289    0.3146    0.3033    0.3033    0.3033    0.2970    0.2933    0.2857    0.1867    0.1848    0.1867    0.1967
           65000    1.0000    0.7500    0.7475    0.6667    0.6667    0.6645    0.6833    0.6877    0.6467    0.6512    0.6300    0.5800    0.5767    0.5800    0.5615    0.5500    0.5233    0.5182    0.5000    0.5000    0.5017    0.4603    0.4582    0.4585    0.4400    0.4467    0.4286    0.4100    0.4073    0.4092    0.4007    0.3920    0.3787    0.3775    0.3675    0.3667    0.3688    0.3433    0.3455    0.3422    0.3333    0.3389    0.3256    0.3179    0.3133    0.3146    0.3123    0.2244    0.2211    0.2267    0.2300
           70000    1.0000    0.7508    0.6767    0.6944    0.7300    0.7067    0.6800    0.6645    0.6678    0.6645    0.6412    0.6379    0.6113    0.5880    0.5714    0.5714    0.5700    0.5415    0.5216    0.5232    0.5000    0.5000    0.5000    0.4651    0.4618    0.4603    0.4518    0.4500    0.4300    0.4257    0.4153    0.4139    0.4139    0.3960    0.3867    0.3887    0.3733    0.3754    0.3754    0.3543    0.3543    0.3531    0.3465    0.3477    0.3344    0.3333    0.3234    0.2244    0.2100    0.2252    0.2259
           75000    1.0000    0.7767    0.7800    0.7342    0.6379    0.6367    0.6146    0.6867    0.7176    0.6689    0.6512    0.6500    0.6478    0.6225    0.5947    0.5914    0.5662    0.5648    0.5667    0.5316    0.5215    0.5200    0.5067    0.5000    0.4967    0.4767    0.4669    0.4636    0.4638    0.4518    0.4356    0.4333    0.4290    0.4219    0.4125    0.4053    0.3946    0.3953    0.3920    0.3841    0.3688    0.3721    0.3642    0.3609    0.3600    0.3498    0.2574    0.2200    0.2277    0.2285    0.2748
           80000    1.0000    0.7767    0.7000    0.7057    0.6977    0.7500    0.7367    0.7367    0.7367    0.6977    0.6667    0.6667    0.6512    0.6358    0.6367    0.6073    0.5828    0.5833    0.5833    0.5633    0.5464    0.5397    0.5166    0.5199    0.5182    0.5033    0.4817    0.4834    0.4768    0.4667    0.4669    0.4485    0.4385    0.4385    0.4367    0.4267    0.4139    0.4106    0.4020    0.4000    0.4007    0.3894    0.3795    0.3762    0.3775    0.3679    0.2697    0.2292    0.2392    0.2200    0.2425
           85000    1.0000    0.8140    0.7433    0.7267    0.7267    0.6711    0.6944    0.7375    0.7367    0.7000    0.7000    0.6967    0.6512    0.6523    0.6512    0.6246    0.6246    0.6007    0.5781    0.5762    0.5781    0.5581    0.5397    0.5364    0.5282    0.5166    0.5166    0.5099    0.4833    0.4850    0.4833    0.4684    0.4671    0.4548    0.4422    0.4404    0.4408    0.4338    0.4186    0.4172    0.4120    0.4046    0.4067    0.3987    0.3846    0.3854    0.2914    0.2433    0.2525    0.2658    0.2689
           90000    1.0000    0.8000    0.7800    0.7076    0.7157    0.7110    0.7200    0.7276    0.7152    0.7252    0.7276    0.6977    0.6944    0.6777    0.6391    0.6403    0.6400    0.6192    0.6067    0.5914    0.5828    0.5710    0.5710    0.5633    0.5331    0.5333    0.5333    0.5167    0.5150    0.5050    0.4833    0.4867    0.4850    0.4752    0.4651    0.4551    0.4533    0.4437    0.4455    0.4404    0.4211    0.4200    0.4214    0.4106    0.4100    0.4040    0.2833    0.2500    0.2583    0.2517    0.2838
           95000    1.0000    0.8173    0.8167    0.7667    0.7409    0.7110    0.7367    0.7367    0.7119    0.7176    0.6711    0.6589    0.6512    0.6358    0.6358    0.6312    0.6113    0.5980    0.5993    0.5908    0.5728    0.5545    0.5533    0.5464    0.5433    0.5413    0.5099    0.5050    0.5050    0.4817    0.4767    0.4800    0.4620    0.4702    0.4669    0.4653    0.4567    0.4507    0.4503    0.4419    0.4419    0.4404    0.4257    0.4243    0.4252    0.4205    0.3133    0.2757    0.2724    0.2781    0.2829
